,LN_IC50
1,2.168003
2,3.051137
3,0.687747
4,0.652471
5,0.874302
6,5.095888
7,5.168499
8,0.746455
9,2.034585
10,4.618705
11,1.398445
12,2.029025
13,1.526864
14,4.671017
15,1.930872
16,-0.383823
17,3.206312
18,1.371171
19,0.632429
20,1.019439
21,1.44139
22,0.879295
23,2.950501
24,1.516047
25,0.3283
26,0.471459
27,3.461911
28,1.678843
29,2.273154
30,-5.354256
31,-0.045463
32,-3.276945
33,6.181
34,1.683494
35,3.985785
36,3.922377
37,4.536312
38,0.10929
39,4.485461
40,5.535671
41,-2.648527
42,1.200988
43,1.200988
44,0.764098
45,-3.000515
46,-5.2109985
47,4.034322
48,2.28089
49,4.043386
50,-2.02479
51,5.653527
52,5.795101
53,1.902667
54,3.523701
55,1.296862
56,3.697545
57,2.253378
58,1.917081
59,-1.023505
60,-0.815365
61,3.431381
62,5.164485
63,3.160482
64,2.683142
65,3.484378
66,3.720084
67,3.51101
68,5.218323
69,1.70515
70,1.977462
71,3.136339
72,2.776144
73,2.776144
74,5.481636
75,4.809329
76,4.157251
77,3.719157
78,5.022082
79,-1.797417
80,5.519808
81,5.519808
82,-1.590646
83,4.476811
84,5.416903
85,3.222326
86,0.154754
87,-0.14513
88,0.186595
89,1.634005
90,4.002634
91,5.115531
92,0.615932
93,6.007531
94,3.809302
95,3.860452
96,2.368299
97,2.381129
98,0.619715
99,4.453523
100,5.102666
101,4.815779
102,1.72955
103,2.200023
104,4.3916335
105,5.04413
106,-3.6618
107,3.223218
108,4.758616
109,0.04408
110,2.332281
111,1.114285
112,5.54976
113,-1.015219
114,4.569855
115,-1.333767
116,4.777564
117,3.174203
118,2.645773
119,-3.548923
120,5.415417
121,4.321911
122,-0.713452
123,2.738978
124,3.155613
125,1.532113
126,3.125865
127,-2.754345
128,4.40685
129,2.47683
130,-4.08997
131,2.41862
132,3.087794
133,-0.320857
134,0.669108
135,5.194991
136,-0.736102
137,-0.237327
138,-1.101323
139,2.526244
140,5.285172
141,0.188871
142,4.053539
143,2.409138
144,2.176614
145,-4.77083
146,-3.294943
147,-5.256226
148,0.866942
149,1.761494
150,1.79764
151,3.996362
152,3.841691
153,5.266275
154,3.440264
155,4.182666
156,1.911579
157,3.594734
158,3.362543
159,3.02294
160,5.546097
161,1.723549
162,0.561507
163,4.680624
164,4.800641
165,1.485959
166,2.992025
167,5.247738
168,3.004648
169,2.475681
170,1.071731
171,5.150479
172,2.004515
173,0.593152
174,2.934145
175,0.952577
176,0.81195
177,1.403266
178,1.928227
179,1.602146
180,5.38077
181,1.565993
182,-1.033307
183,1.912013
184,5.355642
185,2.205889
186,1.662988
187,-4.65347
188,0.509344
189,-2.906706
190,6.315252
191,0.298115
192,2.56301
193,3.392776
194,5.142124
195,1.035739
196,4.794652
197,4.55764
198,-4.231256
199,-3.280197
200,-1.852363
201,1.70469
202,-3.422078
203,3.512637
204,2.261338
205,2.537928
206,-2.54215
207,5.352169
208,5.128559
209,3.384925
210,5.027533
211,-0.981786
212,4.045351
213,2.200911
214,3.853929
215,-3.731167
216,-0.712248
217,4.365921
218,5.221195
219,2.509598
220,2.905183
221,4.298847
222,3.279735
223,4.006147
224,4.098416
225,1.911757
226,1.765592
227,2.464026
228,3.271705
229,5.174342
230,5.825146
231,3.566074
232,4.474981
233,5.362251
234,-2.756768
235,4.278323
236,-1.533623
237,1.846511
238,5.488675
239,3.984367
240,1.658553
241,2.279117
242,1.646529
243,2.373217
244,4.770288
245,5.271014
246,2.486457
247,6.002802
248,1.996017
249,2.144146
250,5.533789
251,1.889513
252,0.742598
253,5.271024
254,3.210166
255,5.2836
256,1.488888
257,2.329908
258,4.1297345
259,3.975347
260,-3.400965
261,5.160666
262,4.859961
263,1.961409
264,3.231395
265,-0.101957
266,5.445102
267,0.476855
268,4.585977
269,-0.753426
270,5.835371
271,2.303465
272,3.33904
273,-3.730394
274,3.999542
275,4.172442
276,-0.062657
277,4.136671
278,1.906081
279,2.964445
280,4.503593
281,-5.090263
282,2.364931
283,1.820209
284,-6.297467
285,1.733347
286,3.787142
287,0.896352
288,0.085305
289,5.499546
290,0.468732
291,-0.592506
292,0.971772
293,2.966542
294,1.6821965
295,4.369735
296,4.150422
297,2.773902
298,-4.778541
299,-2.135342
300,-3.921809
301,1.80464
302,2.899096
303,2.966137
304,4.043738
305,3.687273
306,4.574813
307,3.853185
308,3.916266
309,1.723414
310,3.555334
311,6.221018
312,1.902179
313,6.245323
314,2.101497
315,2.696265
316,5.550123
317,5.815471
318,4.238738
319,4.238738
320,3.516154
321,4.329893
322,3.311704
323,4.440318
324,3.326978
325,6.105963
326,6.251786
327,1.569751
328,3.605408
329,4.416013
330,1.729697
331,3.572394
332,3.130203
333,4.280853
334,6.596672
335,2.487545
336,0.142888
337,1.691501
338,5.520643
339,2.968244
340,1.289446
341,-5.461582
342,0.67516
343,-1.209881
344,6.77143
345,1.96846
346,5.64556
347,4.504026
348,4.720977
349,4.101913
350,6.149476
351,1.766195
352,-2.650545
353,-0.93493
354,-4.058059
355,-0.441158
356,2.073491
357,-1.82103
358,3.015118
359,3.839431
360,2.386352
361,-0.438548
362,5.754343
363,6.557588
364,3.398422
365,5.247943
366,1.170502
367,4.497088
368,3.602981
369,3.953418
370,1.834759
371,-0.465137
372,5.154705
373,4.342469
374,3.297327
375,3.425412
376,4.827885
377,2.938476
378,3.858844
379,3.858844
380,6.154755
381,3.368774
382,4.481523
383,3.602554
384,3.43096
385,5.455888
386,4.688208
387,6.114694
388,3.921372
389,5.636903
390,-1.213986
391,5.321921
392,-1.966249
393,4.506008
394,5.642621
395,4.858765
396,1.872675
397,1.772757
398,1.903889
399,1.903889
400,3.78764
401,4.927908
402,4.509665
403,2.412065
404,6.558056
405,3.802428
406,5.926636
407,5.459118
408,2.26789
409,1.306196
410,4.808454
411,4.562601
412,2.413579
413,1.076365
414,6.2862215
415,6.200587
416,-0.407174
417,2.707872
418,4.370668
419,-0.744306
420,2.71721
421,4.390291
422,5.795732
423,0.510228
424,2.917361
425,-1.452331
426,3.328936
427,2.644806
428,3.323126
429,-0.815744
430,5.442969
431,4.306916
432,1.530623
433,5.274262
434,3.101431
435,2.121813
436,2.182888
437,-3.924029
438,3.295214
439,3.50996
440,-2.671614
441,5.601546
442,4.107224
443,0.864169
444,1.392561
445,6.342051
446,1.610505
447,0.503216
448,0.155903
449,3.5152245
450,2.730106
451,5.375549
452,4.471217
453,3.41633
454,2.169904
455,-3.859655
456,-3.855537
457,-3.578892
458,1.865473
459,2.930189
460,2.320581
461,4.058438
462,5.286738
463,5.189104
464,3.36124
465,4.77228
466,2.371878
467,3.475569
468,5.542559
469,2.993892
470,-0.370128
471,2.348975
472,1.810873
473,4.876139
474,3.498961
475,2.277029
476,4.64529
477,4.36702
478,4.219191
479,2.547233
480,2.448958
481,5.601725
482,3.615257
483,2.336569
484,4.15706
485,0.353019
486,2.976175
487,2.674821
488,2.749339
489,-5.461386
490,4.66549
491,2.713157
492,-0.254395
493,2.397744
494,5.931445
495,3.196651
496,2.801546
497,-4.843719
498,0.876475
499,-1.720835
500,6.783605
501,-0.594229
502,4.971433
503,4.662604
504,5.963191
505,0.905954
506,6.061368
507,3.291705
508,-3.874577
509,-0.806369
510,0.534535
511,0.845339
512,-0.568166
513,-0.622865
514,3.797796
515,4.401
516,5.496682
517,-2.34279
518,6.175189
519,6.724994
520,2.829057
521,4.641606
522,-0.698247
523,3.833971
524,4.280226
525,-1.887435
526,0.85039
527,5.022198
528,5.964552
529,1.688586
530,3.554866
531,6.048901
532,4.557788
533,4.366157
534,5.816464
535,4.076029
536,2.726639
537,2.973228
538,4.856639
539,6.258462
540,6.258462
541,5.087523
542,3.918193
543,3.971835
544,4.938285
545,-1.593387
546,4.840803
547,-1.909142
548,3.205083
549,6.258462
550,6.258462
551,4.508225
552,0.260666
553,1.916023
554,3.898475
555,2.951874
556,4.738162
557,5.222328
558,1.624976
559,6.951609
560,1.74092
561,4.922762
562,2.925096
563,2.909128
564,2.703498
565,3.349499
566,4.448967
567,5.702668
568,1.415052
569,5.99017
570,3.5632455
571,4.391712
572,-0.824556
573,3.699882
574,4.855382
575,1.405106
576,2.929035
577,0.924168
578,6.193187
579,1.695769
580,5.293298
581,1.053065
582,3.512693
583,6.031359
584,3.800253
585,-2.678283
586,4.463329
587,6.243182
588,-0.669511
589,4.552537
590,1.510565
591,3.082408
592,5.268058
593,-4.771231
594,3.726347
595,3.726347
596,1.398674
597,-3.570056
598,3.201498
599,3.945395
600,2.810783
601,0.00066
602,7.166744
603,0.688929
604,0.688929
605,1.842422
606,1.080085
607,3.009449
608,4.34662
609,4.789333
610,4.346813
611,1.848298
612,-2.356682
613,1.409863
614,-1.912768
615,2.483406
616,3.465695
617,3.683563
618,3.926073
619,3.427972
620,4.789507
621,5.519728
622,5.910635
623,3.76145
624,4.37924
625,4.540757
626,2.76747
627,4.367728
628,1.834321
629,1.521153
630,3.439182
631,4.033958
632,1.210163
633,4.289099
634,3.740116
635,3.982625
636,1.105506
637,1.660105
638,4.885463
639,4.416142
640,0.928172
641,1.773696
642,2.806366
643,2.074777
644,1.692763
645,1.606624
646,0.164269
647,2.085112
648,1.142406
649,-0.334416
650,2.698129
651,4.106231
652,3.016507
653,2.3537
654,-5.73058
655,0.48153
656,-3.757428
657,5.659782
658,1.720783
659,2.857686
660,2.942708
661,3.953898
662,0.168482
663,3.514687
664,3.993173
665,-3.318818
666,3.080983
667,2.312747
668,-2.96255
669,2.795386
670,1.585661
671,3.233522
672,-2.879168
673,4.381792
674,4.460236
675,1.788462
676,4.438692
677,0.58914
678,2.334741
679,3.00898
680,-1.727177
681,-0.374122
682,4.046327
683,4.190031
684,2.741691
685,2.195215
686,4.636412
687,2.741766
688,3.570568
689,3.570568
690,4.549698
691,2.466015
692,0.895518
693,1.89319
694,2.119688
695,4.529952
696,5.450959
697,4.607817
698,3.812511
699,4.514789
700,-4.202117
701,4.453401
702,-1.826801
703,3.106962
704,4.637326
705,4.179954
706,-0.193154
707,0.00781
708,2.759083
709,3.925477
710,4.257206
711,4.564348
712,1.827037
713,5.330246
714,3.486873
715,2.701349
716,4.572467
717,1.802498
718,-0.117839
719,4.080658
720,2.300463
721,4.545008
722,1.243679
723,1.326717
724,4.288847
725,2.094811
726,-5.628624
727,3.805877
728,3.506732
729,-1.821956
730,3.484013
731,-1.10427
732,3.942492
733,1.177197
734,3.149031
735,-1.339307
736,3.103618
737,2.791717
738,2.073711
739,-2.576992
740,4.608617
741,3.298445
742,-0.639175
743,3.664443
744,1.206413
745,1.362171
746,2.515016
747,-5.385831
748,2.48769
749,2.185071
750,-2.755019
751,1.774784
752,2.109896
753,-0.338149
754,5.721405
755,-1.197299
756,-0.884274
757,-0.798058
758,2.116413
759,3.289933
760,4.293782
761,1.157948
762,-5.549113
763,-3.74038
764,-5.398511
765,1.241993
766,2.544676
767,1.089994
768,3.538176
769,3.457485
770,3.490921
771,1.884816
772,4.568808
773,0.363947
774,2.673867
775,4.057461
776,2.540945
777,5.995185
778,1.732498
779,3.303443
780,4.707989
781,4.144572
782,0.840234
783,4.509372
784,5.39233
785,5.425986
786,1.573818
787,1.582086
788,6.005647
789,3.7237
790,1.242036
791,3.106114
792,2.983163
793,1.422462
794,3.602777
795,0.940282
796,2.379057
797,5.179067
798,1.852143
799,-0.071437
800,3.664187
801,4.361026
802,2.707678
803,0.928855
804,-5.362124
805,0.648003
806,-4.517416
807,6.210566
808,1.72946
809,2.451449
810,3.470459
811,5.177536
812,-0.712451
813,5.13476
814,-3.467089
815,-2.514162
816,-4.89857
817,3.445014
818,2.265781
819,-4.117223
820,-5.442914
821,1.703031
822,1.849949
823,3.319239
824,-2.359484
825,5.034225
826,6.459827
827,3.067472
828,4.092237
829,0.477362
830,4.144329
831,2.859873
832,4.119112
833,-4.679079
834,0.160444
835,4.714088
836,5.366643
837,3.558523
838,2.697697
839,4.483635
840,3.085875
841,4.736707
842,5.969945
843,3.996445
844,0.640628
845,3.741121
846,2.466355
847,5.288226
848,4.812698
849,4.903677
850,3.047109
851,4.54564
852,-4.037037
853,5.407182
854,-1.953016
855,3.713366
856,6.144408
857,4.112071
858,-1.465712
859,0.070045
860,4.360951
861,3.941043
862,4.830309
863,5.408931
864,2.073224
865,7.070711
866,3.641679
867,2.996524
868,1.808178
869,1.671543
870,0.092699
871,4.956928
872,3.553531
873,5.085159
874,2.090594
875,2.07358
876,3.378617
877,3.330994
878,-4.217032
879,2.723005
880,3.441726
881,-3.871759
882,5.007348
883,-0.951849
884,5.524575
885,1.317479
886,0.068029
887,-1.837051
888,2.614636
889,2.177917
890,3.356117
891,-0.255224
892,6.145932
893,4.660234
894,-0.802675
895,4.758012
896,2.841771
897,-0.855669
898,-0.100861
899,-6.26774
900,2.250684
901,2.121866
902,-2.407181
903,1.168723
904,3.362063
905,2.579417
906,-0.707373
907,6.368729
908,-1.671724
909,-2.028824
910,-5.204961
911,0.354155
912,1.916096
913,3.1863115
914,3.142883
915,3.674157
916,2.169513
917,-4.931828
918,-3.758388
919,-3.611136
920,1.07262
921,0.449677
922,1.204018
923,4.00175
924,4.073927
925,3.924799
926,2.410419
927,5.64519
928,1.056509
929,4.492748
930,7.750157
931,-1.312146
932,5.430393
933,5.785527
934,3.102992
935,4.352914
936,6.217471
937,6.816208
938,6.519807
939,5.900333
940,4.308167
941,4.886765
942,5.699567
943,6.873936
944,5.541298
945,-1.588587
946,7.893256
947,5.610927
948,6.848707
949,-0.097291
950,-2.683336
951,-1.282337
952,2.448545
953,4.835348
954,3.916161
955,6.423122
956,6.729015
957,6.549294
958,7.104261
959,5.056728
960,2.345024
961,5.423234
962,6.150568
963,3.947784
964,6.899928
965,6.007264
966,2.479259
967,4.558967
968,6.889035
969,4.511503
970,3.893253
971,3.949403
972,0.640182
973,5.619055
974,6.817981
975,2.798372
976,4.493534
977,6.334955
978,7.356621
979,6.589639
980,3.177597
981,2.284256
982,6.241668
983,6.357502
984,5.515984
985,3.277487
986,6.633383
987,6.096011
988,0.889088
989,7.806774
990,5.510497
991,6.146078
992,6.844727
993,0.238088
994,5.781991
995,4.863552
996,6.766354
997,3.287446
998,3.943611
999,0.738141
1000,-0.740767
1001,4.790535
1002,5.359058
1003,1.675453
1004,4.70877
1005,6.919007
1006,5.097742
1007,5.208982
1008,6.759919
1009,5.056521
1010,7.799817
1011,3.812228
